NAME,PCODE,YYMMDD,경기수,SLG_분모,SLG_분자,OBP_분모,OBP_분자
정훈,60523,2021-04-04,1.0,4,5,4,2
정훈,60523,2021-04-06,2.0,5,1,5,1
정훈,60523,2021-04-07,3.0,3,2,5,3
정훈,60523,2021-04-08,4.0,4,0,5,1
정훈,60523,2021-04-09,5.0,3,1,4,2
정훈,60523,2021-04-10,6.0,5,6,5,3
정훈,60523,2021-04-11,7.0,4,0,5,1
정훈,60523,2021-04-13,8.0,6,3,6,3
정훈,60523,2021-04-14,9.0,5,1,6,2
정훈,60523,2021-04-18,13.0,4,2,4,1
정훈,60523,2021-04-20,14.0,2,2,5,4
정훈,60523,2021-04-21,15.0,2,1,5,4
정훈,60523,2021-04-22,16.0,2,0,2,0
정훈,60523,2021-04-23,17.0,4,4,4,3
정훈,60523,2021-04-24,18.0,5,1,5,1
정훈,60523,2021-04-25,19.0,5,4,5,1
정훈,60523,2021-04-27,20.0,3,2,4,2
정훈,60523,2021-04-28,21.0,4,1,4,1
정훈,60523,2021-04-29,22.0,4,0,4,0
정훈,60523,2021-04-30,23.0,4,1,5,2
정훈,60523,2021-05-01,24.0,2,0,2,0
정훈,60523,2021-05-02,25.0,5,5,5,2
정훈,60523,2021-05-05,26.0,4,2,4,2
정훈,60523,2021-05-06,27.0,4,2,6,4
정훈,60523,2021-05-07,28.0,4,0,4,0
정훈,60523,2021-05-08,29.0,3,2,6,5
정훈,60523,2021-05-09,30.0,5,4,5,1
정훈,60523,2021-05-11,31.0,4,0,5,1
정훈,60523,2021-05-13,33.0,4,4,4,2
정훈,60523,2021-05-14,34.0,4,3,4,2
정훈,60523,2021-05-15,35.0,4,1,5,2
정훈,60523,2021-05-18,36.0,3,0,5,2
정훈,60523,2021-05-19,37.0,1,0,2,1
정훈,60523,2021-05-21,38.0,5,2,5,2
정훈,60523,2021-05-22,39.0,4,0,5,1
정훈,60523,2021-05-23,40.0,4,2,4,2
정훈,60523,2021-05-26,41.0,3,5,4,3
정훈,60523,2021-05-27,42.0,4,0,4,0
정훈,60523,2021-05-29,43.0,3,0,4,1
정훈,60523,2021-05-29,44.0,3,0,4,1
정훈,60523,2021-05-30,45.0,1,0,1,0
정훈,60523,2021-06-01,46.0,4,0,4,0
정훈,60523,2021-06-02,47.0,4,2,4,1
정훈,60523,2021-06-03,48.0,5,2,5,2
정훈,60523,2021-06-04,49.0,3,1,4,2
정훈,60523,2021-06-05,50.0,4,2,4,2
정훈,60523,2021-06-06,51.0,6,2,6,2
정훈,60523,2021-06-08,52.0,5,7,5,4
정훈,60523,2021-06-09,53.0,4,3,5,2
정훈,60523,2021-06-10,54.0,3,3,4,4
정훈,60523,2021-06-13,55.0,5,2,5,2
정훈,60523,2021-06-13,56.0,5,2,5,2
정훈,60523,2021-06-15,57.0,4,1,4,1
정훈,60523,2021-06-16,58.0,5,2,5,2
정훈,60523,2021-06-16,59.0,3,2,4,3
정훈,60523,2021-06-17,60.0,5,3,5,3
정훈,60523,2021-06-18,61.0,4,0,4,0
정훈,60523,2021-06-19,62.0,3,1,4,2
정훈,60523,2021-06-20,63.0,4,4,4,1
정훈,60523,2021-06-22,64.0,4,7,4,3
정훈,60523,2021-06-23,65.0,5,5,5,2
정훈,60523,2021-06-24,66.0,4,2,4,1
정훈,60523,2021-06-25,67.0,5,2,5,2
정훈,60523,2021-06-26,68.0,4,3,4,3
정훈,60523,2021-06-29,69.0,4,0,5,1
정훈,60523,2021-06-30,70.0,3,0,4,1
정훈,60523,2021-07-01,71.0,3,1,3,1
정훈,60523,2021-07-02,72.0,5,2,5,2
정훈,60523,2021-07-04,73.0,4,4,5,4
정훈,60523,2021-07-05,74.0,4,1,4,1
정훈,60523,2021-07-09,75.0,6,1,6,1
정훈,60523,2021-08-10,78.0,4,0,5,1
정훈,60523,2021-08-11,79.0,3,0,3,0
정훈,60523,2021-08-12,80.0,4,4,4,1
정훈,60523,2021-08-13,81.0,4,1,4,1
정훈,60523,2021-08-14,82.0,3,1,4,1
정훈,60523,2021-08-15,83.0,2,1,2,1
정훈,60523,2021-08-17,84.0,3,0,3,0
정훈,60523,2021-08-18,85.0,2,0,4,2
정훈,60523,2021-08-20,86.0,5,1,5,1
정훈,60523,2021-08-22,87.0,4,0,4,0
정훈,60523,2021-08-23,88.0,2,0,4,2
정훈,60523,2021-08-25,89.0,5,6,5,3
정훈,60523,2021-08-26,90.0,3,0,4,1
정훈,60523,2021-08-28,91.0,2,2,5,5
정훈,60523,2021-08-29,92.0,3,2,4,2
정훈,60523,2021-08-31,93.0,5,0,5,0
정훈,60523,2021-09-03,94.0,2,5,4,4
정훈,60523,2021-09-03,95.0,1,2,4,4
정훈,60523,2021-09-04,96.0,5,4,5,2
정훈,60523,2021-09-05,97.0,3,0,3,0
정훈,60523,2021-09-07,98.0,4,1,5,2
정훈,60523,2021-09-08,99.0,4,1,4,1
정훈,60523,2021-09-09,100.0,4,1,4,1
정훈,60523,2021-09-10,101.0,4,0,4,0
정훈,60523,2021-09-11,102.0,2,1,4,3
정훈,60523,2021-09-12,103.0,2,1,2,1
정훈,60523,2021-09-12,104.0,1,0,3,2
유강남,61102,2021-04-04,1.0,4,1,4,1
유강남,61102,2021-04-06,2.0,3,2,3,1
유강남,61102,2021-04-07,3.0,3,1,4,2
유강남,61102,2021-04-08,4.0,3,4,3,1
유강남,61102,2021-04-09,5.0,3,2,5,4
유강남,61102,2021-04-10,6.0,2,1,4,3
유강남,61102,2021-04-11,7.0,3,1,3,1
유강남,61102,2021-04-13,8.0,3,0,4,1
유강남,61102,2021-04-14,9.0,5,5,5,2
유강남,61102,2021-04-15,10.0,2,0,2,0
유강남,61102,2021-04-16,11.0,2,0,3,1
유강남,61102,2021-04-17,12.0,3,0,3,0
유강남,61102,2021-04-18,13.0,2,0,2,0
유강남,61102,2021-04-20,14.0,3,2,4,3
유강남,61102,2021-04-21,15.0,3,0,4,1
유강남,61102,2021-04-22,16.0,5,0,5,0
유강남,61102,2021-04-23,17.0,4,0,4,0
유강남,61102,2021-04-25,19.0,3,1,4,2
유강남,61102,2021-04-27,20.0,4,1,4,1
유강남,61102,2021-04-28,21.0,3,0,3,0
유강남,61102,2021-04-29,22.0,3,0,3,0
유강남,61102,2021-05-01,24.0,4,0,4,0
유강남,61102,2021-05-02,25.0,4,3,4,3
유강남,61102,2021-05-05,26.0,5,1,5,1
유강남,61102,2021-05-06,27.0,5,5,5,3
유강남,61102,2021-05-08,28.0,4,3,4,2
유강남,61102,2021-05-09,29.0,3,0,4,1
유강남,61102,2021-05-09,30.0,1,1,1,1
유강남,61102,2021-05-11,31.0,4,1,4,1
유강남,61102,2021-05-12,32.0,2,0,4,2
유강남,61102,2021-05-14,34.0,3,0,3,0
유강남,61102,2021-05-15,35.0,3,4,3,1
유강남,61102,2021-05-17,36.0,3,0,4,1
유강남,61102,2021-05-18,37.0,3,1,3,1
유강남,61102,2021-05-20,39.0,2,0,2,0
유강남,61102,2021-05-21,40.0,4,2,4,1
유강남,61102,2021-05-22,41.0,4,5,4,2
유강남,61102,2021-05-23,42.0,3,1,3,1
유강남,61102,2021-05-26,43.0,5,3,5,3
유강남,61102,2021-05-27,44.0,5,1,5,1
유강남,61102,2021-05-28,45.0,4,2,4,2
유강남,61102,2021-05-30,47.0,4,0,4,0
유강남,61102,2021-06-01,48.0,2,0,2,0
유강남,61102,2021-06-02,49.0,4,4,4,1
유강남,61102,2021-06-04,50.0,3,0,4,1
유강남,61102,2021-06-05,51.0,5,3,5,2
유강남,61102,2021-06-06,52.0,3,0,3,0
유강남,61102,2021-06-08,53.0,4,0,4,0
유강남,61102,2021-06-09,54.0,4,0,4,0
유강남,61102,2021-06-11,56.0,2,2,4,3
유강남,61102,2021-06-13,58.0,3,1,4,2
유강남,61102,2021-06-15,59.0,4,1,4,1
유강남,61102,2021-06-16,60.0,4,1,4,1
유강남,61102,2021-06-17,61.0,3,1,3,1
유강남,61102,2021-06-19,63.0,3,1,3,1
유강남,61102,2021-06-20,64.0,3,0,4,1
유강남,61102,2021-06-23,66.0,3,0,4,1
