PCODE,NAME,BIRTH,GYEAR,MM-DD,v_team,result,타순,P,선발,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,비율,출루,장타,OPS,투구,avLI,RE24,WPA,YYMMDD
60523,정훈,1987-07-18,2021,04-04,SK,D :,5,1B,1,4,1,2,0,0,1,5,1,0,0,0,0,0,1,0,0,0,0.500,0.500,1.250,1.750,18,1.09,0.84,0.015,2021-04-04
60523,정훈,1987-07-18,2021,04-06,NC,W 10:5,5,1B,1,5,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.333,0.333,0.667,1.000,19,1.31,-0.14,0.153,2021-04-06
60523,정훈,1987-07-18,2021,04-07,NC,L 6:10,5,1B,1,3,0,1,1,0,0,2,2,0,0,2,0,0,0,0,0,0,0.333,0.429,0.667,1.095,27,0.86,1.98,0.128,2021-04-07
60523,정훈,1987-07-18,2021,04-08,NC,W 8:4,5,CF,1,4,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.250,0.368,0.500,0.868,17,0.69,-0.88,-0.073,2021-04-08
60523,정훈,1987-07-18,2021,04-09,WO,L 2:7,5,CF,1,3,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.263,0.391,0.474,0.865,15,0.59,0.63,0.028,2021-04-09
60523,정훈,1987-07-18,2021,04-10,WO,W 13:0,5,1B,1,5,3,3,3,0,0,6,3,0,0,0,0,0,1,0,0,0,0.333,0.429,0.625,1.054,26,0.35,2.32,0.047,2021-04-10
60523,정훈,1987-07-18,2021,04-11,WO,L 2:3,5,1B,1,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0.286,0.394,0.536,0.930,24,2.17,0.03,-0.111,2021-04-11
60523,정훈,1987-07-18,2021,04-13,HT,W 8:0,5,1B,1,6,1,3,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0.324,0.410,0.529,0.940,25,0.49,0.30,0.138,2021-04-13
60523,정훈,1987-07-18,2021,04-14,HT,L 2:3,5,1B,1,5,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.308,0.400,0.487,0.887,35,1.82,-0.24,0.033,2021-04-14
60523,정훈,1987-07-18,2021,04-18,SS,L 0:7,5,1B,1,4,0,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0.302,0.388,0.488,0.876,18,0.72,-0.81,-0.101,2021-04-18
60523,정훈,1987-07-18,2021,04-20,OB,W 10:5,5,1B,1,2,1,1,1,0,0,2,2,0,0,3,0,0,0,0,0,0,0.311,0.426,0.511,0.937,24,0.90,2.50,0.128,2021-04-20
60523,정훈,1987-07-18,2021,04-21,OB,W 10:9,5,CF,1,2,0,1,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0.319,0.458,0.511,0.968,24,1.04,1.57,0.057,2021-04-21
60523,정훈,1987-07-18,2021,04-22,OB,L 1:13,5,CF,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.306,0.443,0.490,0.932,8,1.10,-1.09,-0.096,2021-04-22
60523,정훈,1987-07-18,2021,04-23,KT,W 10:5,5,CF,1,4,2,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0.340,0.462,0.528,0.990,12,0.31,1.06,0.064,2021-04-23
60523,정훈,1987-07-18,2021,04-24,KT,W 4:2,5,1B,1,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.328,0.443,0.500,0.943,21,1.09,-0.41,0.001,2021-04-24
60523,정훈,1987-07-18,2021,04-25,KT,L 5:6,5,CF,1,5,1,1,0,0,1,4,1,0,0,0,0,0,1,0,0,0,0.317,0.427,0.524,0.950,26,1.75,0.15,0.001,2021-04-25
60523,정훈,1987-07-18,2021,04-27,LG,L 0:4,5,DH,1,3,0,1,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0.318,0.430,0.530,0.961,15,0.80,1.02,0.101,2021-04-27
60523,정훈,1987-07-18,2021,04-28,LG,W 3:0,5,1B,1,4,1,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0.314,0.422,0.514,0.936,14,0.49,-0.01,-0.027,2021-04-28
60523,정훈,1987-07-18,2021,04-29,LG,L 2:3,5,CF,1,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.297,0.402,0.486,0.889,18,1.22,-1.28,-0.121,2021-04-29
60523,정훈,1987-07-18,2021,04-30,HH,L 7:11,5,CF,1,4,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.295,0.402,0.474,0.877,21,1.02,-0.34,-0.064,2021-04-30
60523,정훈,1987-07-18,2021,05-01,HH,L 3:11,5,CF,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288,0.394,0.463,0.856,9,0.36,-0.36,-0.018,2021-05-01
60523,정훈,1987-07-18,2021,05-02,HH,L 4:5,1,1B,1,5,1,2,0,0,1,5,3,0,0,0,0,0,2,0,0,0,0.294,0.394,0.494,0.888,27,1.78,2.11,0.112,2021-05-02
60523,정훈,1987-07-18,2021,05-05,HT,L 5:8,5,1B,1,4,2,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.303,0.398,0.494,0.892,11,0.45,0.08,-0.021,2021-05-05
60523,정훈,1987-07-18,2021,05-06,HT,W 17:9,1,DH,1,4,2,2,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0.312,0.413,0.495,0.907,28,0.27,0.67,-0.020,2021-05-06
60523,정훈,1987-07-18,2021,05-07,SS,L 1:4,1,1B,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299,0.398,0.474,0.872,16,0.93,-0.81,-0.098,2021-05-07
60523,정훈,1987-07-18,2021,05-08,SS,W 9:8,1,1B,1,3,2,2,0,0,0,2,1,1,0,3,0,0,1,0,0,0,0.310,0.420,0.480,0.900,31,1.64,2.08,0.177,2021-05-08
60523,정훈,1987-07-18,2021,05-09,SS,L 6:8,6,CF,1,5,1,1,0,0,1,4,1,0,0,0,0,0,1,0,0,0,0.305,0.411,0.495,0.907,19,1.13,0.06,-0.033,2021-05-09
60523,정훈,1987-07-18,2021,05-11,SK,L 6:7,1,1B,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.294,0.403,0.477,0.880,22,0.91,-0.85,-0.064,2021-05-11
60523,정훈,1987-07-18,2021,05-13,SK,W 5:4,4,CF,1,4,2,2,2,0,0,4,0,0,0,0,0,0,2,0,0,0,0.301,0.406,0.496,0.902,15,1.53,0.30,0.038,2021-05-13
60523,정훈,1987-07-18,2021,05-14,KT,L 1:9,1,CF,1,4,0,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0.308,0.409,0.504,0.913,19,0.46,0.19,0.044,2021-05-14
60523,정훈,1987-07-18,2021,05-15,KT,L 4:5,1,CF,1,4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.306,0.408,0.496,0.904,17,1.20,-1.20,-0.074,2021-05-15
60523,정훈,1987-07-18,2021,05-18,HH,W 4:3,1,CF,1,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.298,0.408,0.484,0.892,23,0.69,-0.02,0.034,2021-05-18
60523,정훈,1987-07-18,2021,05-19,HH,L 2:12,1,1B,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.296,0.409,0.480,0.889,7,0.53,-0.14,-0.016,2021-05-19
60523,정훈,1987-07-18,2021,05-21,OB,W 9:1,1,CF,1,5,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.300,0.409,0.477,0.886,22,0.33,0.24,0.042,2021-05-21
60523,정훈,1987-07-18,2021,05-22,OB,L 3:4,1,DH,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.291,0.403,0.463,0.865,25,1.66,-2.01,-0.308,2021-05-22
60523,정훈,1987-07-18,2021,05-23,OB,L 0:4,1,CF,1,4,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.297,0.405,0.464,0.869,17,1.06,-0.24,-0.009,2021-05-23
60523,정훈,1987-07-18,2021,05-26,LG,L 3:5,1,1B,1,3,2,2,0,0,1,5,1,0,0,1,0,1,1,0,0,0,0.305,0.413,0.489,0.903,9,1.76,1.75,0.161,2021-05-26
60523,정훈,1987-07-18,2021,05-27,LG,L 1:8,2,DH,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.297,0.404,0.476,0.879,16,0.52,-0.72,-0.051,2021-05-27
60523,정훈,1987-07-18,2021,05-29,NC,D 10:10,4,1B,1,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.291,0.400,0.466,0.866,10,0.41,-0.90,-0.044,2021-05-29
60523,정훈,1987-07-18,2021,05-29,NC,L 2:6,1,DH,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.285,0.397,0.457,0.854,11,0.60,-0.24,-0.004,2021-05-29
60523,정훈,1987-07-18,2021,05-30,NC,L 4:5,2,PH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283,0.394,0.454,0.848,8,3.47,-0.26,-0.088,2021-05-30
60523,정훈,1987-07-18,2021,06-01,WO,W 3:0,4,1B,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.276,0.386,0.442,0.828,25,0.39,-0.74,-0.039,2021-06-01
60523,정훈,1987-07-18,2021,06-02,WO,W 4:2,4,1B,1,4,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.275,0.383,0.444,0.827,16,0.76,-0.54,-0.058,2021-06-02
60523,정훈,1987-07-18,2021,06-03,WO,L 4:9,4,1B,1,5,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.279,0.383,0.442,0.826,17,0.59,0.20,0.026,2021-06-03
60523,정훈,1987-07-18,2021,06-04,KT,W 15:0,4,1B,1,3,0,1,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0.280,0.386,0.440,0.826,19,1.21,3.40,0.242,2021-06-04
60523,정훈,1987-07-18,2021,06-05,KT,L 1:8,4,DH,1,4,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.285,0.388,0.442,0.830,16,0.66,-0.03,0.037,2021-06-05
60523,정훈,1987-07-18,2021,06-06,KT,W 8:7,4,1B,1,6,1,2,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0.287,0.386,0.438,0.825,24,1.40,0.05,0.038,2021-06-06
60523,정훈,1987-07-18,2021,06-08,OB,W 18:9,4,1B,1,5,2,4,0,0,1,7,5,1,0,0,0,0,0,0,0,0,0.301,0.396,0.464,0.861,27,0.47,4.21,0.096,2021-06-08
60523,정훈,1987-07-18,2021,06-09,OB,L 8:14,4,1B,1,4,0,2,1,0,0,3,2,0,0,0,0,0,0,0,0,1,0.305,0.396,0.471,0.867,15,1.54,0.24,0.014,2021-06-09
60523,정훈,1987-07-18,2021,06-10,OB,W 5:4,4,1B,1,3,0,3,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0.316,0.407,0.479,0.886,14,0.91,0.88,0.042,2021-06-10
60523,정훈,1987-07-18,2021,06-13,HT,W 8:6,4,1B,1,5,1,2,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0.318,0.407,0.477,0.884,21,1.77,0.76,0.223,2021-06-13
60523,정훈,1987-07-18,2021,06-13,HT,L 3:6,4,1B,1,5,0,2,0,0,0,2,2,1,0,0,0,0,1,0,0,0,0.320,0.407,0.475,0.882,18,1.09,0.10,0.027,2021-06-13
60523,정훈,1987-07-18,2021,06-15,HH,L 2:3,4,1B,1,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.319,0.404,0.471,0.875,15,1.37,-0.57,-0.099,2021-06-15
60523,정훈,1987-07-18,2021,06-16,HH,L 4:9,4,1B,1,5,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.321,0.404,0.469,0.873,23,0.79,-0.07,-0.006,2021-06-16
60523,정훈,1987-07-18,2021,06-16,HH,L 3:4,4,1B,1,3,1,2,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0.325,0.410,0.472,0.882,26,1.61,1.11,0.076,2021-06-16
60523,정훈,1987-07-18,2021,06-17,HH,W 9:2,4,DH,1,5,1,3,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0.332,0.414,0.475,0.888,28,0.35,-0.09,0.042,2021-06-17
60523,정훈,1987-07-18,2021,06-18,SS,W 7:4,5,1B,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.326,0.407,0.466,0.873,19,0.35,-0.86,-0.034,2021-06-18
60523,정훈,1987-07-18,2021,06-19,SS,L 1:9,5,1B,1,3,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.326,0.409,0.464,0.873,13,0.73,0.55,0.006,2021-06-19
60523,정훈,1987-07-18,2021,06-20,SS,W 8:7,5,1B,1,4,1,1,0,0,1,4,1,0,0,0,0,0,1,0,0,0,0.325,0.406,0.474,0.880,9,0.44,-0.33,-0.014,2021-06-20
60523,정훈,1987-07-18,2021,06-22,NC,L 2:5,5,1B,1,4,1,3,1,0,1,7,2,0,0,0,0,0,0,0,0,0,0.332,0.411,0.496,0.907,12,0.79,2.53,0.121,2021-06-22
60523,정훈,1987-07-18,2021,06-23,NC,W 13:7,5,1B,1,5,2,2,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0.333,0.411,0.506,0.917,20,0.53,0.92,0.064,2021-06-23
60523,정훈,1987-07-18,2021,06-24,NC,L 4:6,5,1B,1,4,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.332,0.409,0.506,0.915,17,1.54,0.74,0.068,2021-06-24
60523,정훈,1987-07-18,2021,06-25,OB,W 9:1,4,DH,1,5,1,2,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0.333,0.409,0.504,0.913,21,0.58,0.49,-0.026,2021-06-25
60523,정훈,1987-07-18,2021,06-26,OB,W 4:3,5,1B,1,4,1,3,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0.340,0.413,0.508,0.921,20,1.29,1.16,0.164,2021-06-26
60523,정훈,1987-07-18,2021,06-29,WO,W 13:5,4,1B,1,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.335,0.410,0.500,0.910,20,0.55,-0.11,0.022,2021-06-29
